dbn,school,total_enrollment,amount_owed
01M539,"New Explorations into Science, Technology and Math High School",1725,4177501.5
01M184,P.S. 184m Shuang Wen,668,1617722.32
01M450,East Side Community School,649,1571709.26
01M020,P.S. 020 Anna Silver,631,1528117.94
01M696,Bard High School Early College,560,1356174.4
01M515,Lower East Side Preparatory High School,551,1334378.74
01M188,P.S. 188 The Island School,501,1213291.74
01M110,P.S. 110 Florence Nightingale,416,1007443.84
01M509,Marta Valle High School,401,971117.74
01M034,P.S. 034 Franklin D. Roosevelt,393,951743.82
01M140,P.S. 140 Nathan Straus,393,951743.82
01M142,P.S. 142 Amalia Castro,384,929948.16
01M839,Tompkins Square Middle School,377,912995.98
01M292,Henry Street School for International Studies,323,782222.02
01M134,P.S. 134 Henrietta Szold,318,770113.32
01M364,Earth School,318,770113.32
01M363,Neighborhood School,300,726522
01M448,University Neighborhood High School,299,724100.26
01M064,P.S. 064 Robert Simon,287,695039.38
01M019,P.S. 019 Asher Levy,285,690195.9
01M315,The East Village Community School,276,668400.24
01M361,The Children's Workshop School,258,624808.92
01M378,School for Global Leaders,244,590904.56
01M458,Forsyth Satellite Academy,224,542469.76
01M650,Cascades High School,222,537626.28
01M137,P.S. 137 John L. Bernstein,202,489191.48
01M015,P.S. 015 Roberto Clemente,190,460130.6
01M063,The STAR Academy - P.S.63,179,433491.46
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",166,402008.84
01M301,"Technology, Arts, and Sciences Studio",158,382634.92
01M332,University Neighborhood Middle School,100,242174
02M475,Stuyvesant High School,3292,7972368.08
02M600,The High School of Fashion Industries,1732,4194453.68
02M420,High School for Health Professions and Human Services,1706,4131488.44
02M520,Murry Bergtraum High School for Business Careers,1466,3550270.84
02M630,Art and Design High School,1438,3482462.12
02M167,J.H.S. 167 Robert F. Wagner,1345,3257240.3
02M400,High School for Environmental Studies,1312,3177322.88
02M104,J.H.S. 104 Simon Baruch,1034,2504079.16
02M130,P.S. 130 Hernando De Soto,999,2419318.26
02M276,BATTERY PARK CITY SCHOOL,875,2119022.5
02M124,P.S. 124 Yung Wing,866,2097226.84
02M126,P.S. 126 Jacob August Riis,841,2036683.34
02M002,P.S. 002 Meyer London,822,1990670.28
02M011,P.S. 011 William T. Harris,820,1985826.8
02M003,P.S. 003 Charrette School,808,1956765.92
02M042,P.S. 042 Benjamin Altman,792,1918018.08
02M041,P.S. 041 Greenwich Village,791,1915596.34
02M234,P.S. 234 Independence School,785,1901065.9
02M655,Life Sciences Secondary School,771,1867161.54
02M575,Manhattan Comprehensive Night and Day High School,768,1859896.32
02M489,High School of Economics and Finance,767,1857474.58
02M006,P.S. 006 Lillie D. Blake,751,1818726.74
02M158,P.S. 158 Bayard Taylor,747,1809039.78
02M625,High School of Graphic Communication Arts,735,1779978.9
02M116,P.S. 116 Mary Lindley Murray,724,1753339.76
02M413,School of the Future High School,715,1731544.1
02M529,Jacqueline Kennedy Onassis High School,709,1717013.66
02M425,Leadership and Public Service High School,685,1658891.9
02M290,P.S. 290 Manhattan New School,675,1634674.5
02M418,Millennium High School,619,1499057.06
02M183,P.S. 183 Robert L. Stevenson,606,1467574.44
02M560,High School M560 - City As School,606,1467574.44
02M412,N.Y.C. Lab School for Collaborative Studies,599,1450622.26
02M059,P.S. 059 Beekman Hill International,598,1448200.52
02M040,P.S. 040 Augustus Saint-Gaudens,594,1438513.56
02M580,Richard R. Green High School of Teaching,593,1436091.82
02M033,P.S. 033 Chelsea Prep,576,1394922.24
02M312,New York City Lab Middle School for Collaborative Studies,573,1387657.02
02M542,Manhattan Bridges High School,552,1336800.48
02M374,Gramercy Arts High School,548,1327113.52
02M111,P.S. 111 Adolph S. Ochs,533,1290787.42
02M416,Eleanor Roosevelt High School,531,1285943.94
02M519,Talent Unlimited High School,530,1283522.2
02M217,P.S./I.S. 217 Roosevelt Island,518,1254461.32
02M408,Professional Performing Arts High School,512,1239930.88
02M001,P.S. 001 Alfred E. Smith,496,1201183.04
02M198,P.S. 198 Isador E. Ida Straus,495,1198761.3
02M151,Yorkville Community School,485,1174543.9
02M422,Quest to Learn,478,1157591.72
02M089,P.S. 89,472,1143061.28
02M449,Vanguard High School,469,1135796.06
02M407,Institute for Collaborative Education,468,1133374.32
02M414,N.Y.C. Museum School,462,1118843.88
02M437,Hudson High School of Learning Technologies,462,1118843.88
02M131,M.S. 131,445,1077674.3
02M114,East Side Middle School,443,1072830.82
02M288,Food and Finance High School,443,1072830.82
02M615,Chelsea Career and Technical Education High School,443,1072830.82
02M411,Baruch College Campus High School,439,1063143.86
02M543,New Design High School,439,1063143.86
02M551,Urban Assembly New York Harbor School,439,1063143.86
02M376,NYC iSchool,433,1048613.42
02M296,High School of Hospitality Management,431,1043769.94
02M300,"Urban Assembly School of Design and Construction, The",427,1034082.98
02M392,MANHATTAN BUSINESS ACADEMY,426,1031661.24
02M298,Pace High School,421,1019552.54
02M393,BUSINESS OF SPORTS SCHOOL,420,1017130.8
02M303,"Facing History School, The",417,1009865.58
02M439,Manhattan Village Academy,414,1002600.36
02M316,"Urban Assembly School of Business for Young Women, the",412,997756.88
02M545,High School for Dual Language and Asian Studies,410,992913.4
02M419,Landmark High School,396,959009.04
02M255,M.S. 255 Salk School of Science,378,915417.72
02M507,Urban Assembly Gateway School for Technology,367,888778.58
02M308,Lower Manhattan Arts Academy,362,876669.88
02M397,SPRUCE STREET SCHOOL,362,876669.88
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,358,866982.92
02M896,Lower Manhattan Community Middle School,350,847609
02M294,Essex Street Academy,349,845187.26
02M077,P.S. 77 Lower Lab School,348,842765.52
02M212,P.S. 212 Midtown West,343,830656.82
02M438,International High School at Union Square,339,820969.86
02M550,Liberty High School Academy for Newcomers,339,820969.86
02M459,Manhattan International High School,331,801595.94
02M544,Independence High School,328,794330.72
02M305,"Urban Assembly Academy of Government and Law, The",326,789487.24
02M225,Ella Baker School,319,772535.06
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,312,755582.88
02M460,Washington Irving High School,308,745895.92
02M432,Murray Hill Academy,305,738630.7
02M051,P.S. 051 Elias Howe,304,736208.96
02M289,I.S. 289,293,709569.82
02M260,M.S. 260 Clinton School Writers & Artists,266,644182.84
02M267,"East Side Elementary School, PS 267",261,632074.14
02M313,"James Baldwin School, The: A School for Expeditionary Learning",260,629652.4
02M500,Unity Center for Urban Technologies,255,617543.7
02M570,Satellite Academy High School,255,617543.7
02M546,Academy for Software Engineering,241,583639.34
02M531,Repertory Company High School for Theatre Arts,236,571530.64
02M534,Harvest Collegiate High School,232,561843.68
02M533,Union Square Academy for Health Sciences,223,540048.02
02M394,EMMA LAZARUS HIGH SCHOOL,221,535204.54
02M347,The 47 American Sign Language & English Lower School,214,518252.36
02M605,Humanities Preparatory Academy,210,508565.4
02M620,Norman Thomas High School,200,484348
02M047,47 The American Sign Language and English Secondary School,184,445600.16
02M150,P.S. 150,184,445600.16
02M565,Urban Academy Laboratory High School,159,385056.66
02M442,"Ballet Tech, NYC Public School for Dance",149,360839.26
02M343,The Peck Slip School,123,297874.02
02M135,The Urban Assembly School for Emergency Management,116,280921.84
02M527,PS 527 - East Side School for Social Action,92,222800.08
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,85,205847.9
02M281,The River School,85,205847.9
02M586,Harvey Milk High School,75,181630.5
02M429,Legacy School for Integrated Studies,71,171943.54
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,2730,6611350.2
03M479,Beacon High School,1276,3090140.24
03M087,P.S. 087 William Sherman,900,2179566
03M165,P.S. 165 Robert E. Simon,858,2077852.92
03M199,P.S. 199 Jessie Isador Straus,838,2029418.12
03M054,J.H.S. 054 Booker T. Washington,815,1973718.1
03M333,P.S. 333 Manhattan School for Children,771,1867161.54
03M009,P.S. 009 Sarah Anderson,648,1569287.52
03M163,P.S. 163 Alfred E. Smith,625,1513587.5
03M180,P.S. 180 Hugo Newman,614,1486948.36
03M075,P.S. 075 Emily Dickinson,607,1469996.18
03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,594,1438513.56
03M494,High School of Arts and Technology,588,1423983.12
03M334,The Anderson School,576,1394922.24
03M415,Wadleigh Secondary School for the Performing & Visual Arts,531,1285943.94
03M492,"High School for Law, Advocacy and Community Justice",531,1285943.94
03M505,Edward A. Reynolds West Side High School,522,1264148.28
03M084,P.S. 084 Lillian Weber,517,1252039.58
03M191,P.S. 191 Amsterdam,514,1244774.36
03M076,P.S. 076 A. Philip Randolph,498,1206026.52
03M403,The Global Learning Collaborative,480,1162435.2
03M541,Manhattan / Hunter Science High School,460,1114000.4
03M299,"High School for Arts, Imagination and Inquiry",435,1053456.9
03M860,Frederick Douglass Academy II Secondary School,429,1038926.46
03M245,M.S. M245 The Computer School,411,995335.14
03M145,"P.S. 145, The Bloomingdale School",407,985648.18
03M402,The Urban Assembly School for Green Careers,395,956587.3
03M307,"Urban Assembly School for Media Studies, The",387,937213.38
03M417,FRANK McCOURT HIGH SCHOOL,373,903309.02
03M862,Mott Hall II,345,835500.3
03M149,P.S. 149 Sojourner Truth,339,820969.86
03M258,Community Action School - MS 258,258,624808.92
03M243,M.S. 243 Center School,229,554578.46
03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,224,542469.76
03M242,P.S. 242 - The Young Diplomats Magnet Academy,223,540048.02
03M452,P.S. 452,220,532782.8
03M421,West Prep Academy,214,518252.36
03M247,M.S. M247 Dual Language Middle School,195,472239.3
03M404,Innovation Diploma Plus,192,464974.08
03M859,Special Music School,191,462552.34
03M250,M.S. 250 West Side Collaborative Middle School,190,460130.6
03M208,P.S. 208 Alain L. Locke,164,397165.36
03M256,M.S. 256 Academic & Athletic Excellence,159,385056.66
03M283,Manhattan Theatre Lab High School,129,312404.46
03M241,STEM Institute of Manhattan,99,239752.26
04M435,Manhattan Center for Science and Mathematics,1588,3845723.12
04M057,James Weldon Johnson,843,2041526.82
04M171,P.S. 171 Patrick Henry,731,1770291.94
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,676,1637096.24
04M012,Tag Young Scholars,533,1290787.42
04M096,P.S. 096 Joseph Lanzetta,506,1225400.44
04M072,The Lexington Academy,500,1210870
04M555,Central Park East High School,479,1160013.46
04M610,Young Women's Leadership School,464,1123687.36
04M083,P.S. 083 Luis Munoz Rivera,460,1114000.4
04M206,P.S. 206 Jose Celso Barbosa,442,1070409.08
04M372,ESPERANZA PREPARATORY ACADEMY,424,1026817.76
04M146,P.S. 146 Ann M. Short,420,1017130.8
04M495,Park East High School,409,990491.66
04M007,P.S. 007 Samuel Stern,391,946900.34
04M182,The Bilingual Bicultural School,379,917839.46
04M155,P.S. 155 William Paca,367,888778.58
04M112,P.S. 112 Jose Celso Barbosa,361,874248.14
04M680,"Heritage School, The",351,850030.74
04M375,Mosaic Preparatory Academy,331,801595.94
04M825,Isaac Newton Middle School for Math & Science,324,784643.76
04M102,P.S. 102 Jacques Cartier,317,767691.58
04M409,Coalition School for Social Change,311,753161.14
04M050,P.S. 050 Vito Marcantonio,304,736208.96
04M038,P.S. 38 Roberto Clemente,283,685352.42
04M964,Central Park East II,261,632074.14
04M037,River East Elementary,208,503721.92
04M497,Central Park East I,203,491613.22
04M224,M.S. 224 Manhattan East School for Arts & Academics,188,455287.12
04M406,Global Technology Preparatory,178,431069.72
04M377,Renaissance School of the Arts,160,387478.4
04M381,Global Neighborhood Secondary School,153,370526.22
04M013,J.H.S. 013 Jackie Robinson,107,259126.18
04M635,Academy of Environmental Science Secondary High School,17,41169.58
05M499,Frederick Douglass Academy,1489,3605970.86
05M161,P.S. 161 Pedro Albizu Campos,913,2211048.62
05M046,P.S. 046 Arthur Tappan,843,2041526.82
05M362,Columbia Secondary School,664,1608035.36
05M123,P.S. 123 Mahalia Jackson,602,1457887.48
05M670,Thurgood Marshall Academy for Learning and Social Change,572,1385235.28
05M129,P.S. 129 John H. Finley,562,1361017.88
05M036,P.S. 036 Margaret Douglas,528,1278678.72
05M200,P.S. 200- The James Mccune Smith School,501,1213291.74
05M692,"High School for Mathematics, Science and Engineering at City College",456,1104313.44
05M304,Mott Hall High School,425,1029239.5
05M175,P.S. 175 Henry H Garnet,377,912995.98
05M369,Urban Assembly School for the Performing Arts,354,857295.96
05M154,P.S. 154 Harriet Tubman,319,772535.06
05M367,Academy for Social Action: A College Board School,309,748317.66
05M514,New Design Middle School,309,748317.66
05M197,P.S. 197 John B. Russwurm,303,733787.22
05M030,P.S. 030 Hernandez/Hughes,295,714413.3
05M685,Bread & Roses Integrated Arts High School,274,663556.76
05M092,P.S. 092 Mary McLeod Bethune,262,634495.88
05M133,P.S. 133 Fred R Moore,251,607856.74
05M285,Harlem Renaissance High School,232,561843.68
05M318,Thurgood Marshall Academy Lower School,220,532782.8
05M194,P.S. 194 Countee Cullen,212,513408.88
05M302,KAPPA IV,197,477082.78
05M125,P.S. 125 Ralph Bunche,193,467395.82
05M469,Choir Academy of Harlem,179,433491.46
05M286,I.S. M286 Renaissance Leadership Academy,172,416539.28
05M517,Teachers College Community School,167,404430.58
05M410,The Urban Assembly Institute for New Technologies,96,232487.04
05M157,The Urban Assembly School for Global Commerce,82,198582.68
05M148,Eagle Academy for Young Men of Harlem,67,162256.58
06M540,A. Philip Randolph Campus High School,1360,3293566.4
06M189,P.S. 189,1123,2719614.02
06M153,P.S. 153 Adam Clayton Powell,876,2121444.24
06M028,P.S. 028 Wright Brothers,816,1976139.84
06M187,P.S./I.S. 187 Hudson Cliffs,778,1884113.72
06M004,P.S. 004 Duke Ellington,730,1767870.2
06M173,P.S. 173,695,1683109.3
06M467,High School for Law and Public Service,679,1644361.46
06M005,P.S. 005 Ellen Lurie,674,1632252.76
06M152,P.S. 152 Dyckman Valley,651,1576552.74
06M348,Washington Heights Expeditionary Learning School,650,1574131
06M319,M.S. 319 - Maria Teresa,637,1542648.38
06M132,P.S. 132 Juan Pablo Duarte,632,1530539.68
06M048,P.S. 048 P.O. Michael J. Buczek,624,1511165.76
06M468,High School for Health Careers and Sciences,624,1511165.76
06M128,P.S. 128 Audubon,603,1460309.22
06M098,P.S. 098 Shorac Kappock,602,1457887.48
06M346,Community Health Academy of the Heights,600,1453044
06M293,City College Academy of the Arts,593,1436091.82
06M115,P.S. 115 Alexander Humboldt,588,1423983.12
06M008,P.S. 008 Luis Belliard,560,1356174.4
06M462,The College Academy,546,1322270.04
06M052,J.H.S. 052 Inwood,533,1290787.42
06M278,Paula Hedbavny School,532,1288365.68
06M463,High School for Media and Communications,523,1266570.02
06M552,Gregorio Luperon High School for Science and Mathematics,491,1189074.34
06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,468,1133374.32
06M324,M.S. 324 - Patria Mirabal,450,1089783
06M143,J.H.S. 143 Eleanor Roosevelt,446,1080096.04
06M018,P.S. 018 Park Terrace,432,1046191.68
06M311,Amistad Dual Language School,432,1046191.68
06M366,Washington Heights Academy,425,1029239.5
06M322,Middle School 322,380,920261.2
06M192,P.S. 192 Jacob H. Schiff,353,854874.22
06M328,M.S. 328 - Manhattan Middle School for Scientific Inquiry,292,707148.08
06M223,The Mott Hall School,283,685352.42
06M325,P.S. 325,283,685352.42
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,283,685352.42
06M314,Muscota,258,624808.92
06M218,I.S. 218 Salome Urena,255,617543.7
06M368,Hamilton Heights School,246,595748.04
06M178,Professor Juan Bosch Public School,244,590904.56
06M528,I.S. 528 Bea Fuller Rodgers School,226,547313.24
06M423,High School for Excellence and Innovation,223,540048.02
06M349,Harbor Heights,161,389900.14
06M513,Castle Bridge School,119,288187.06
06M103,Dos Puentes Elementary School,69,167100.06
07X029,P.S./M.S. 029 Melrose School,738,1787244.12
07X005,PS 5 Port Morris,701,1697639.74
07X001,P.S. 001 Courtlandt School,685,1658891.9
07X031,P.S./M.S. 031 The William Lloyd Garrison,681,1649204.94
07X049,P.S. 049 Willis Avenue,668,1617722.32
07X157,P.S. 157 Grove Hill,664,1608035.36
07X221,South Bronx Preparatory: A College Board School,644,1559600.56
07X551,The Urban Assembly Bronx Academy of Letters,584,1414296.16
07X670,Health Opportunities High School,577,1397343.98
07X548,Urban Assembly School for Careers in Sports,575,1392500.5
07X030,P.S. 030 Wilton,565,1368283.1
07X018,P.S. 018 John Peter Zenger,544,1317426.56
07X500,Hostos-Lincoln Academy of Science,537,1300474.38
07X043,P.S. 043 Jonas Bronck,536,1298052.64
07X161,P.S. 161 Ponce De Leon,526,1273835.24
07X527,Bronx Leadership Academy II High School,515,1247196.1
07X025,P.S. 025 Bilingual School,470,1138217.8
07X495,University Heights Secondary School,466,1128530.84
07X547,New Explorers High School,463,1121265.62
07X223,M.S. 223 The Laboratory School of Finance and Technology,451,1092204.74
07X065,P.S. 065 Mother Hale Academy,450,1089783
07X154,P.S. 154 Jonathan D. Hyatt,449,1087361.26
07X334,International Community High School,437,1058300.38
07X277,P.S. 277,435,1053456.9
07X522,Bronx Design and Construction Academy,429,1038926.46
07X162,J.H.S. 162 Lola Rodriguez De Tio,395,956587.3
07X600,Alfred E. Smith Career and Technical Education High School,390,944478.6
07X179,P.S. 179,384,929948.16
07X296,South Bronx Academy for Applied Media,377,912995.98
07X298,Academy of Public Relations,363,879091.62
07X473,Mott Haven Village Preparatory High School,344,833078.56
07X427,Community School for Social Justice,335,811282.9
07X224,P.S. / I.S. 224,327,791908.98
07X369,Young Leaders Elementary School,314,760426.36
07X343,Academy of Applied Mathematics and Technology,296,716835.04
07X151,J.H.S. 151 Lou Gehrig,275,665978.5
07X359,Concourse Village Elementary School,234,566687.16
07X385,Performance School,231,559421.94
07X655,Samuel Gompers Career and Technical Education High School,229,554578.46
07X557,Mott Haven Community High School,202,489191.48
07X520,Foreign Language Academy of Global Studies,189,457708.86
07X379,Jill Chaifetz Transfer High School,184,445600.16
07X203,M.S. 203,174,421382.76
07X381,Bronx Haven High School,172,416539.28
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",126,305139.24
07X321,Crotona Academy High School,105,254282.7
08X405,Herbert H. Lehman High School.,2059,4986362.66
08X071,P.S. 071 Rose E. Scala,1698,4112114.52
08X119,P.S. 119,1035,2506500.9
08X182,P.S. 182,986,2387835.64
08X152,P.S. 152 Evergreen,977,2366039.98
08X072,P.S. 072 Dr. William Dorney,896,2169879.04
08X048,P.S. 048 Joseph R. Drake,855,2070587.7
08X138,P.S. 138 Samuel Randall,842,2039105.08
08X062,P.S. 062 Inocensio Casanova,766,1855052.84
08X131,J.H.S. 131 Albert Einstein,726,1758183.24
08X036,P.S. 036 Unionport,704,1704904.96
08X140,P.S. X140 The Eagle School,647,1566865.78
08X367,"Archimedes Academy for Math, Science and Technology Applications",637,1542648.38
08X014,P.S. X014 Senator John Calandra,607,1469996.18
08X100,P.S. 100 Isaac Clason,596,1443357.04
08X302,M.S. 302 Luisa Dessus Cruz,590,1428826.6
08X069,P.S. 069 Journey Prep School,589,1426404.86
08X075,P.S. 75 School of Research and Discovery,579,1402187.46
08X304,P.S. 304 Early Childhood School,561,1358596.14
08X269,Bronx Studio School for Writers and Artists,540,1307739.6
08X107,P.S. 107,510,1235087.4
08X123,J.H.S. 123 James M. Kieran,505,1222978.7
08X130,P.S. 130 Abram Stevens Hewitt,496,1201183.04
08X312,Millennium Art Academy,496,1201183.04
08X101,M.S. X101 Edward R. Byrne,486,1176965.64
08X376,Antonia Pantoja Preparatory Academy: A College Board School,466,1128530.84
08X125,J.H.S. 125 Henry Hudson,462,1118843.88
08X146,P.S. 146 Edward Collins,461,1116422.14
08X293,Renaissance High School for Musical Theater & Technology,454,1099469.96
08X333,P.S. 333 - The Museum School,432,1046191.68
08X282,Women's Academy of Excellence,395,956587.3
08X093,P.S. 093 Albert G. Oliver,392,949322.08
08X530,Banana Kelly High School,364,881513.36
